metric,score,domain_experts_assessment
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),0.2,0
Correctness (GEval),0.9,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),0.9,1
Correctness (GEval),1,1
Correctness (GEval),0.9,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),0,0
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),0.8,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
Correctness (GEval),1,1
