metric,score,domain_experts_assessment
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,0,1
Answer Relevancy,0.5,1
Answer Relevancy,1,1
Answer Relevancy,1,0
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,0
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,0,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,0,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
Answer Relevancy,1,1
