metric,score,domain_experts_assessment
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,0.833333333,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,0
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,0
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,0.833333333,1
Contextual Precision,0,1
Contextual Precision,1,1
Contextual Precision,1,1
Contextual Precision,1,1
