metric,score,domain_experts_assessment
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0.875,0
Contextual Recall,0.666666667,1
Contextual Recall,1,1
Contextual Recall,0.909090909,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0.5,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0.666666667,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0.666666667,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0.25,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0.666666667,1
Contextual Recall,1,1
Contextual Recall,0.75,1
Contextual Recall,1,1
Contextual Recall,1,0
Contextual Recall,1,1
Contextual Recall,0.333333333,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0.666666667,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,0.6,1
Contextual Recall,1,1
Contextual Recall,1,1
Contextual Recall,1,1
