metric,score,domain_experts_assessment
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,0.666666667,1
Faithfulness,1,0
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,0.909090909,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,0,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,0.75,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,0
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,0.8,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,0.8,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,0.666666667,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,1,1
Faithfulness,0.5,1
