metric,score,evaluation_model
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.5,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.777777778,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.714285714,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.833333333,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.5,Llama-3 70B
Faithfulness,0,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.666666667,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.8,Llama-3 70B
Faithfulness,0,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.6,Llama-3 70B
Faithfulness,0.833333333,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.5,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.5,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.5,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.333333333,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
