metric,score,evaluation_model
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.571428571,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.553571429,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.142857143,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0.804166667,Llama-3 70B
Contextual Precision,0.071428571,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.75,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.8875,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
