metric,score,evaluation_model
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.666666667,Llama-3 70B
Faithfulness,0.333333333,Llama-3 70B
Faithfulness,0.333333333,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,0.916666667,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
Faithfulness,1,Llama-3 70B
