metric,score,evaluation_model
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.6,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.833333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.833333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.888888889,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.75,Llama-3 70B
Contextual Relevancy,0.5,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.75,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.75,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.5,Llama-3 70B
Contextual Relevancy,0.8,Llama-3 70B
Contextual Relevancy,0,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.4,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.4,Llama-3 70B
Contextual Relevancy,0.857142857,Llama-3 70B
Contextual Relevancy,0.333333333,Llama-3 70B
Contextual Relevancy,0.8,Llama-3 70B
Contextual Relevancy,0.428571429,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.8,Llama-3 70B
Contextual Relevancy,0.6,Llama-3 70B
Contextual Relevancy,0,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.8,Llama-3 70B
Contextual Relevancy,0.8,Llama-3 70B
Contextual Relevancy,0.75,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.833333333,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,0.444444444,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,0.8,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.285714286,Llama-3 70B
Contextual Relevancy,0.5,Llama-3 70B
Contextual Relevancy,0.333333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.833333333,Llama-3 70B
Contextual Relevancy,0.833333333,Llama-3 70B
Contextual Relevancy,0.875,Llama-3 70B
Contextual Relevancy,0.75,Llama-3 70B
Contextual Relevancy,0.833333333,Llama-3 70B
Contextual Relevancy,0.2,Llama-3 70B
Contextual Relevancy,0.833333333,Llama-3 70B
Contextual Relevancy,0.428571429,Llama-3 70B
Contextual Relevancy,0.333333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.75,Llama-3 70B
Contextual Relevancy,0.833333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.333333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.875,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
